,from_id,to_id,travel_time
0,48060056,38,11.0
1,48060056,42,24.0
2,48060056,188,22.0
3,48060056,214,25.0
4,48060056,290,16.0
5,48060057,38,20.0
6,48060057,42,22.0
7,48060057,188,25.0
8,48060057,214,30.0
9,48060057,290,13.0
10,48060058,38,9.0
11,48060058,42,20.0
12,48060058,188,25.0
13,48060058,214,22.0
14,48060058,290,10.0
15,48060059,38,23.0
16,48060059,42,22.0
17,48060059,188,28.0
18,48060059,214,33.0
19,48060059,290,13.0
20,48060060,38,22.0
21,48060060,42,22.0
22,48060060,188,29.0
23,48060060,214,32.0
24,48060060,290,12.0
25,48060061,42,17.0
26,48060061,214,29.0
27,48060061,290,9.0
28,48060062,42,5.0
29,48060062,214,23.0
30,48060062,290,8.0
31,48060063,42,6.0
32,48060063,214,24.0
33,48060063,290,14.0
34,48060064,42,2.0
35,48060064,95,25.0
36,48060064,145,24.0
37,48060065,42,8.0
38,48060065,95,19.0
39,48060065,214,22.0
40,48060066,42,20.0
41,48060066,95,12.0
42,48060066,214,30.0
43,48060067,95,10.0
44,48060067,113,21.0
45,48060067,145,22.0
46,48060067,231,19.0
47,48060067,333,16.0
48,48060068,95,13.0
49,48060068,113,18.0
50,48060068,145,17.0
51,48060068,231,16.0
52,48060068,333,12.0
53,48060069,95,23.0
54,48060069,113,20.0
55,48060069,126,25.0
56,48060069,145,10.0
57,48060069,154,22.0
58,48060069,231,18.0
59,48060069,333,17.0
60,48060070,95,23.0
61,48060070,113,24.0
62,48060070,126,22.0
63,48060070,145,4.0
64,48060070,154,20.0
65,48060070,231,20.0
66,48060070,333,19.0
67,48060071,95,26.0
68,48060071,113,24.0
69,48060071,126,19.0
70,48060071,145,10.0
71,48060071,154,18.0
72,48060071,231,22.0
73,48060071,333,20.0
74,48060072,95,29.0
75,48060072,113,26.0
76,48060072,126,16.0
77,48060072,145,7.0
78,48060072,154,20.0
79,48060072,231,25.0
80,48060072,333,24.0
81,48060073,95,31.0
82,48060073,113,26.0
83,48060073,126,22.0
84,48060073,145,14.0
85,48060073,154,15.0
86,48060073,231,20.0
87,48060073,333,21.0
88,48060074,126,12.0
89,48060074,145,11.0
90,48060074,154,16.0
91,48060075,126,14.0
92,48060075,145,15.0
93,48060075,154,18.0
94,48060077,126,9.0
95,48060077,145,15.0
96,48060077,154,7.0
97,48060078,113,25.0
98,48060078,126,18.0
99,48060078,145,14.0
100,48060078,154,11.0
101,48060078,231,16.0
102,48060078,333,19.0
103,48060079,113,21.0
104,48060079,126,22.0
105,48060079,145,23.0
106,48060079,154,7.0
107,48060079,231,11.0
108,48060079,333,20.0
109,48060080,113,24.0
110,48060080,126,23.0
111,48060080,145,24.0
112,48060080,154,7.0
113,48060080,231,15.0
114,48060080,333,24.0
115,48060085,113,7.0
116,48060085,231,16.0
117,48060085,333,19.0
118,48060086,113,17.0
119,48060086,231,18.0
120,48060086,333,22.0
121,48060087,258,22.0
122,48060088,47,22.0
123,48060088,98,17.0
124,48060088,210,19.0
125,48060088,212,20.0
126,48060088,213,20.0
127,48060088,281,26.0
128,48060088,359,21.0
129,48060089,47,16.0
130,48060089,98,14.0
131,48060089,146,23.0
132,48060089,178,23.0
133,48060089,210,15.0
134,48060089,212,13.0
135,48060089,213,13.0
136,48060089,281,20.0
137,48060089,359,15.0
138,48060090,47,7.0
139,48060090,98,8.0
140,48060090,210,4.0
141,48060090,212,10.0
142,48060090,213,10.0
143,48060090,281,19.0
144,48060090,359,17.0
145,48060091,29,13.0
146,48060091,47,0.0
147,48060091,98,8.0
148,48060091,146,24.0
149,48060091,178,18.0
150,48060091,210,3.0
151,48060091,212,4.0
152,48060091,213,4.0
153,48060091,281,13.0
154,48060091,359,11.0
155,48060092,29,17.0
156,48060092,47,11.0
157,48060092,98,8.0
158,48060092,146,19.0
159,48060092,178,14.0
160,48060092,210,12.0
161,48060092,212,6.0
162,48060092,213,6.0
163,48060092,281,10.0
164,48060092,359,11.0
165,48060093,29,3.0
166,48060093,47,10.0
167,48060093,98,12.0
168,48060093,146,24.0
169,48060093,178,16.0
170,48060093,210,11.0
171,48060093,212,9.0
172,48060093,213,9.0
173,48060093,281,13.0
174,48060093,359,3.0
175,48060094,29,11.0
176,48060094,47,19.0
177,48060094,98,17.0
178,48060094,146,23.0
179,48060094,178,13.0
180,48060094,206,23.0
181,48060094,210,21.0
182,48060094,212,15.0
183,48060094,213,15.0
184,48060094,281,11.0
185,48060094,359,7.0
186,48060095,29,10.0
187,48060095,47,19.0
188,48060095,98,16.0
189,48060095,206,17.0
190,48060095,210,18.0
191,48060095,212,16.0
192,48060095,213,16.0
193,48060095,281,19.0
194,48060095,359,10.0
195,48060096,29,3.0
196,48060096,47,17.0
197,48060096,98,15.0
198,48060096,206,22.0
199,48060096,210,17.0
200,48060096,212,15.0
201,48060096,213,15.0
202,48060096,281,20.0
203,48060096,359,10.0
204,48060097,29,12.0
205,48060097,47,14.0
206,48060097,98,13.0
207,48060097,206,14.0
208,48060097,210,15.0
209,48060097,212,11.0
210,48060097,213,11.0
211,48060097,281,17.0
212,48060097,359,11.0
213,48060098,29,16.0
214,48060098,63,25.0
215,48060098,204,20.0
216,48060098,206,20.0
217,48060098,242,15.0
218,48060098,264,28.0
219,48060099,29,13.0
220,48060099,47,22.0
221,48060099,98,20.0
222,48060099,206,24.0
223,48060099,210,21.0
224,48060099,212,20.0
225,48060099,213,20.0
226,48060099,281,23.0
227,48060099,359,18.0
228,48060100,29,21.0
229,48060100,242,10.0
230,48060100,264,21.0
231,48060100,284,23.0
232,48060101,29,29.0
233,48060101,242,20.0
234,48060101,264,23.0
235,48060101,284,15.0
236,48060102,242,12.0
237,48060102,264,13.0
238,48060102,284,19.0
239,48060103,242,16.0
240,48060103,264,5.0
241,48060103,284,25.0
242,48060104,242,21.0
243,48060104,264,4.0
244,48060105,242,26.0
245,48060105,264,15.0
246,48060106,63,20.0
247,48060106,204,15.0
248,48060106,242,12.0
249,48060106,264,10.0
250,48060107,63,19.0
251,48060107,204,16.0
252,48060107,242,19.0
253,48060107,264,18.0
254,48060108,63,22.0
255,48060108,204,22.0
256,48060108,242,19.0
257,48060108,264,21.0
258,48060109,85,26.0
259,48060109,107,32.0
260,48060109,110,27.0
261,48060109,125,36.0
262,48060109,134,26.0
263,48060109,142,23.0
264,48060109,153,27.0
265,48060109,165,33.0
266,48060109,173,29.0
267,48060109,179,23.0
268,48060109,183,28.0
269,48060109,220,28.0
270,48060109,263,29.0
271,48060109,341,26.0
272,48060110,80,21.0
273,48060110,86,23.0
274,48060110,110,17.0
275,48060110,125,21.0
276,48060110,144,20.0
277,48060110,165,18.0
278,48060110,168,43.0
279,48060110,173,19.0
280,48060110,220,24.0
281,48060112,85,22.0
282,48060112,107,28.0
283,48060112,110,14.0
284,48060112,125,22.0
285,48060112,134,22.0
286,48060112,142,22.0
287,48060112,153,23.0
288,48060112,165,22.0
289,48060112,173,15.0
290,48060112,179,22.0
291,48060112,183,24.0
292,48060112,220,20.0
293,48060112,263,21.0
294,48060112,341,21.0
295,48060113,85,17.0
296,48060113,107,24.0
297,48060113,110,16.0
298,48060113,125,25.0
299,48060113,134,17.0
300,48060113,142,18.0
301,48060113,153,19.0
302,48060113,165,25.0
303,48060113,173,18.0
304,48060113,179,18.0
305,48060113,183,20.0
306,48060113,220,20.0
307,48060113,263,21.0
308,48060113,341,18.0
309,48060114,85,12.0
310,48060114,107,19.0
311,48060114,110,15.0
312,48060114,125,23.0
313,48060114,134,12.0
314,48060114,142,14.0
315,48060114,153,14.0
316,48060114,165,23.0
317,48060114,173,17.0
318,48060114,179,14.0
319,48060114,183,15.0
320,48060114,220,15.0
321,48060114,263,15.0
322,48060114,341,13.0
323,48060115,85,17.0
324,48060115,107,21.0
325,48060115,110,13.0
326,48060115,125,22.0
327,48060115,134,17.0
328,48060115,142,18.0
329,48060115,153,15.0
330,48060115,165,21.0
331,48060115,173,15.0
332,48060115,179,18.0
333,48060115,183,17.0
334,48060115,220,19.0
335,48060115,263,14.0
336,48060115,341,16.0
337,48060116,85,17.0
338,48060116,107,21.0
339,48060116,110,18.0
340,48060116,125,26.0
341,48060116,134,17.0
342,48060116,142,13.0
343,48060116,153,16.0
344,48060116,165,28.0
345,48060116,173,24.0
346,48060116,179,12.0
347,48060116,183,18.0
348,48060116,220,18.0
349,48060116,263,8.0
350,48060116,341,16.0
351,48060117,35,32.0
352,48060117,85,23.0
353,48060117,107,21.0
354,48060117,134,23.0
355,48060117,142,9.0
356,48060117,153,24.0
357,48060117,156,17.0
358,48060117,179,9.0
359,48060117,183,24.0
360,48060117,194,24.0
361,48060117,248,23.0
362,48060117,263,8.0
363,48060117,341,24.0
364,48060118,17,23.0
365,48060118,85,18.0
366,48060118,101,27.0
367,48060118,102,31.0
368,48060118,107,21.0
369,48060118,110,19.0
370,48060118,118,31.0
371,48060118,125,29.0
372,48060118,134,18.0
373,48060118,142,22.0
374,48060118,153,16.0
375,48060118,160,31.0
376,48060118,162,32.0
377,48060118,165,31.0
378,48060118,167,27.0
379,48060118,173,24.0
380,48060118,179,22.0
381,48060118,183,18.0
382,48060118,220,20.0
383,48060118,263,9.0
384,48060118,341,17.0
385,48060119,85,27.0
386,48060119,101,29.0
387,48060119,107,23.0
388,48060119,134,27.0
389,48060119,142,22.0
390,48060119,153,26.0
391,48060119,179,22.0
392,48060119,183,25.0
393,48060119,194,20.0
394,48060119,248,9.0
395,48060119,263,11.0
396,48060119,295,33.0
397,48060119,334,31.0
398,48060119,341,26.0
399,48060120,35,33.0
400,48060120,85,26.0
401,48060120,107,21.0
402,48060120,134,26.0
403,48060120,142,17.0
404,48060120,153,25.0
405,48060120,156,14.0
406,48060120,179,17.0
407,48060120,183,25.0
408,48060120,194,22.0
409,48060120,248,15.0
410,48060120,263,11.0
411,48060120,341,25.0
412,48060121,35,25.0
413,48060121,85,28.0
414,48060121,107,26.0
415,48060121,134,28.0
416,48060121,142,19.0
417,48060121,153,28.0
418,48060121,156,5.0
419,48060121,179,19.0
420,48060121,183,28.0
421,48060121,194,18.0
422,48060121,248,15.0
423,48060121,263,20.0
424,48060121,341,28.0
425,48060122,35,30.0
426,48060122,85,26.0
427,48060122,107,22.0
428,48060122,134,25.0
429,48060122,142,11.0
430,48060122,153,26.0
431,48060122,156,11.0
432,48060122,179,10.0
433,48060122,183,26.0
434,48060122,194,23.0
435,48060122,248,23.0
436,48060122,263,13.0
437,48060122,341,26.0
438,48060123,35,27.0
439,48060123,85,24.0
440,48060123,107,21.0
441,48060123,134,23.0
442,48060123,142,7.0
443,48060123,153,24.0
444,48060123,156,12.0
445,48060123,179,4.0
446,48060123,183,24.0
447,48060123,194,24.0
448,48060123,248,25.0
449,48060123,263,16.0
450,48060123,341,24.0
451,48060124,35,20.0
452,48060124,142,15.0
453,48060124,156,18.0
454,48060124,179,13.0
455,48060124,293,27.0
456,48060125,35,17.0
457,48060125,142,23.0
458,48060125,156,21.0
459,48060125,179,21.0
460,48060125,293,19.0
461,48060126,35,17.0
462,48060126,142,18.0
463,48060126,156,6.0
464,48060126,179,15.0
465,48060126,194,25.0
466,48060126,248,23.0
467,48060126,293,27.0
468,48060127,35,4.0
469,48060127,142,28.0
470,48060127,156,17.0
471,48060127,179,27.0
472,48060127,194,28.0
473,48060127,248,31.0
474,48060127,293,18.0
475,48060128,35,8.0
476,48060128,108,29.0
477,48060128,156,16.0
478,48060128,194,18.0
479,48060128,237,18.0
480,48060128,248,29.0
481,48060129,35,7.0
482,48060129,108,22.0
483,48060129,156,25.0
484,48060129,237,17.0
485,48060129,293,18.0
486,48060130,108,18.0
487,48060130,237,5.0
488,48060130,251,27.0
489,48060131,108,18.0
490,48060131,237,12.0
491,48060131,251,29.0
492,48060132,108,12.0
493,48060132,237,12.0
494,48060132,251,17.0
495,48060133,35,25.0
496,48060133,108,20.0
497,48060133,156,25.0
498,48060133,194,20.0
499,48060133,237,20.0
500,48060133,248,32.0
501,48060134,108,18.0
502,48060134,237,23.0
503,48060134,251,14.0
504,48060135,108,21.0
505,48060135,237,20.0
506,48060135,251,6.0
507,48060136,108,25.0
508,48060136,237,25.0
509,48060136,251,2.0
510,48060137,108,23.0
511,48060137,237,25.0
512,48060137,251,8.0
513,48060138,108,27.0
514,48060138,237,33.0
515,48060138,251,16.0
516,48060139,251,14.0
517,48060140,31,15.0
518,48060140,105,21.0
519,48060140,251,53.0
