from_id,to_id,travel_time
48061067,0,75
48061067,1,43
48061067,2,95
48061067,3,92
48061067,4,72
48061068,0,72
48061068,1,40
48061068,2,91
48061068,3,88
48061068,4,70
48061069,0,69
48061069,1,39
48061069,2,88
48061069,3,85
48061069,4,67
48061070,0,72
48061070,1,41
48061070,2,91
48061070,3,89
48061070,4,69
48061071,0,75
48061071,1,43
48061071,2,94
48061071,3,92
48061071,4,72
48061072,0,74
48061072,1,42
48061072,2,93
48061072,3,91
48061072,4,71
48061073,0,75
48061073,1,43
48061073,2,93
48061073,3,93
48061073,4,71
48061076,0,67
48061076,1,37
48061076,2,87
48061076,3,83
48061076,4,66
48061077,0,73
48061077,1,42
48061077,2,90
48061077,3,89
48061077,4,69
48061078,0,71
48061078,1,40
48061078,2,88
48061078,3,82
48061078,4,66
48061079,0,70
48061079,1,39
48061079,2,88
48061079,3,81
48061079,4,66
48061080,0,68
48061080,1,38
48061080,2,87
48061080,3,84
48061080,4,66
48061081,0,62
48061081,1,33
48061081,2,82
48061081,3,79
48061081,4,61
48061082,0,60
48061082,1,31
48061082,2,80
48061082,3,77
48061082,4,60
48061083,0,62
48061083,1,32
48061083,2,83
48061083,3,78
48061083,4,62
48061084,0,64
48061084,1,33
48061084,2,84
48061084,3,75
48061084,4,63
48061085,0,62
48061085,1,31
48061085,2,82
48061085,3,78
48061085,4,61
48061086,0,64
48061086,1,34
48061086,2,85
48061086,3,80
48061086,4,65
48061091,0,68
48061091,1,35
48061091,2,84
48061091,3,84
48061091,4,63
48061092,0,70
48061092,1,37
48061092,2,86
48061092,3,86
48061092,4,65
48061093,0,70
48061093,1,37
48061093,2,85
48061093,3,86
48061093,4,64
48061094,0,71
48061094,1,34
48061094,2,81
48061094,3,88
48061094,4,59
48061095,0,71
48061095,1,36
48061095,2,83
48061095,3,88
48061095,4,62
48061096,0,74
48061096,1,36
48061096,2,83
48061096,3,94
48061096,4,61
48061097,0,71
48061097,1,38
48061097,2,84
48061097,3,89
48061097,4,64
48061098,0,70
48061098,1,37
48061098,2,84
48061098,3,85
48061098,4,63
48061099,0,64
48061099,1,34
48061099,2,84
48061099,3,81
48061099,4,63
48061100,0,64
48061100,1,35
48061100,2,85
48061100,3,81
48061100,4,64
48061106,0,68
48061106,1,37
48061106,2,84
48061106,3,84
48061106,4,64
48061108,0,68
48061108,1,30
48061108,2,76
48061108,3,93
48061108,4,54
48061115,0,70
48061115,1,37
48061115,2,89
48061115,3,86
48061115,4,67
48061116,0,69
48061116,1,36
48061116,2,88
48061116,3,85
48061116,4,67
48061117,0,71
48061117,1,38
48061117,2,90
48061117,3,87
48061117,4,68
48061118,0,71
48061118,1,37
48061118,2,90
48061118,3,86
48061118,4,68
48061119,0,66
48061119,1,34
48061119,2,86
48061119,3,84
48061119,4,65
48061120,0,69
48061120,1,37
48061120,2,89
48061120,3,86
48061120,4,68
48061121,0,66
48061121,1,34
48061121,2,86
48061121,3,82
48061121,4,64
48061122,0,66
48061122,1,32
48061122,2,85
48061122,3,82
48061122,4,64
48061123,0,70
48061123,1,34
48061123,2,88
48061123,3,85
48061123,4,67
48061124,0,68
48061124,1,32
48061124,2,86
48061124,3,82
48061124,4,65
48061125,0,75
48061125,1,33
48061125,2,89
48061125,3,85
48061125,4,68
48061128,0,82
48061128,1,39
48061128,2,95
48061128,3,90
48061128,4,74
48061131,0,76
48061131,1,33
48061131,2,88
48061131,3,84
48061131,4,67
48061132,0,86
48061132,1,48
48061132,2,91
48061132,3,85
48061132,4,68
48061133,0,83
48061133,1,45
48061133,2,87
48061133,3,81
48061133,4,65
48061134,0,83
48061134,1,44
48061134,2,87
48061134,3,81
48061134,4,66
48061135,0,80
48061135,1,43
48061135,2,85
48061135,3,79
48061135,4,63
48061136,0,77
48061136,1,41
48061136,2,81
48061136,3,76
48061136,4,60
48061137,0,80
48061137,1,44
48061137,2,85
48061137,3,79
48061137,4,63
48061138,0,81
48061138,1,43
48061138,2,84
48061138,3,77
48061138,4,63
48061139,0,82
48061139,1,44
48061139,2,86
48061139,3,81
48061139,4,64
48061140,0,79
48061140,1,41
48061140,2,83
48061140,3,77
48061140,4,61
48061141,0,80
48061141,1,42
48061141,2,84
48061141,3,78
48061141,4,62
48061142,0,81
48061142,1,43
48061142,2,84
48061142,3,77
48061142,4,63
48061143,0,80
48061143,1,42
48061143,2,83
48061143,3,76
48061143,4,62
48061145,0,110
48061145,1,77
48061145,2,114
48061145,3,103
48061145,4,89
48061146,0,81
